project_id;project_name;description;category;cost;district;votes
10;Toalety we Wrocławskich parkach i na terenach rekreacyjnych.;"Uzasadnienie
W parkach i na terenach zielonych we Wrocławiu brakuje toalet, co utrudnia korzystanie z nich w celach rekreacyjnych przez dłuższy czas.
Proponujemy instalację toalet (technologia dowolna, prawdopodobnie najlepsze byłyby samoczyszczące i/lub odporne na wandalizm).
Proponujemy następujące miejsca:
1) Park Szczytnicki
2) Park Wschodni
3) Park Południowy
4) Park Tysiąclecia
5) Park Zachodni
6) Karłowice (Park Kasprowicza lub Polana Karłowicka lub Brodzik)
Szczegóły umiejscowienia zostaną ustalone z liderem projektu. W przypadku gdyby któryś z ww parków posiadał już toaletę w momencie wygranej projektu, wspólnie z UMW wybierzemy inną lokalizację.";greenery/recreation;900000;Plac Grunwaldzki;10857
50;"Zielona rowerowo-piesza obwodnica Wrocławia; ETAP II – odcinki: Tarnogaj – Gaj - Wojszyce –Jagodno - Krzyki –Borek –Grabiszyn –Grabiszynek –Gajowice –Muchobór Mały.";"Uzasadnienie
Walczymy o II ETAP. Ideą jest powstanie szybkiej, bezpiecznej, ŚRÓDMIEJSKIEJ OBWODNICY ROWEROWEJ WROCŁAWIA
Ścieżka ma biec terenami zielonymi i łączyć różne dzielnice oraz parki. Mapka całej trasy w załączniku. Drodze rowerowej towarzyszyć ma ścieżka typu parkowego dla pieszych i biegaczy. Po wybudowaniu całości będziemy starać się o nasadzanie drzew wzdłuż całej trasy.
W skład projektu nr 50 wchodzi:
Ścieżka wzdłuż torów kolejowych od BARDZKIEJ do ZIĘBICKIEJ,
Ścieżka wzdłuż torów kolejowych od HALLERA do SAPERÓW
Ścieżka przy Górce PaFaWag od KRUCZEJ do HALLERA
Zapraszam na fan-page, gdzie będą umieszczane informacje na temat innych możliwości poparcia idei powstania Rowerowej Obwodnicy Wrocławia:
https://www.facebook.com/rowerowa.obwodnica.wroclawia/";walking/cycling infrastructure;1000000;Przedmieście Oławskie,Psie Pole-Zawidawie;10796
18;Rowerowy Wrocław 2017;"Uzasadnienie
Projekt przewiduje poprawę bezpieczeństwa i wygody rowerzystów na wrocławskich ulicach poprzez utworzenie dróg lub pasów rowerowych, a w przypadku braku miejsca uspokojenie ruchu i wymalowanie sierżantów (znak P–27) na tych ulicach, na których brakuje infrastruktury rowerowej bądź jest ona niekompletna (tylko po jednej stronie drogi lub nieciągła).
Proponowane lokalizacje:
- Borowska – pas rowerowy od Glinianej do Armii Krajowej
- Gliniana – łącznik dróg rowerowych pomiędzy Ślężną a Borowską
- Swobodna – przedłużenie istniejącej drogi rowerowej od Powstańców Śląskich do Ślężnej i Borowskiej
- Hubska i Bardzka – jednokierunkowa droga rowerowa po zachodniej stronie od Glinianej do Armii Krajowej
- Małachowskiego – pasy rowerowe
- Poniatowskiego – sierżanty i uspokojenie ruchu
- Żmigrodzka – pas rowerowy od Kasprowicza do Kępińskiej
- Plac Społeczny – pasy rowerowe od Mostu Grunwaldzkiego do Oławskiej i od Placu Wróblewskiego do Mostu Grunwaldzkiego
- Św. Mikołaja – łącznik pomiędzy końcem drogi rowerowej a początkiem pasa rowerowego";walking/cycling infrastructure;1000000;Przedmieście Oławskie,Psie Pole-Zawidawie;8640
675;Zieleń dla Wrocławia – parki kieszonkowe, nasadzenia, enklawy zieleni w całym mieście!;"Uzasadnienie
We Wrocławiu nastąpiła deklaratywna zmiana, jeśli chodzi o zieleń i dbanie o środowisko w ogóle. Niestety, na co dzień zmiany nie następują zbyt szybko. W mieście wciąż w wielu miejscach brakuje drzew, mimo że istniejące sieci podziemne nie kolidują z nasadzeniami. Podczas budowy nowych budynków nie myśli się o zagospodarowaniu terenu zielenią inną niż niską (krzewy lub trawy), co powoduje, że wokół nich pozostają puste przestrzenie, szybko nagrzewające się, co jest dokuczliwe szczególnie latem.
Innym problemem są zaniedbane przestrzenie już zielone, a nierzadko zieleni pozbawione. Mogłyby stanowić miejsca spotykania się mieszkańców, umilać czekanie na tramwaj, czy po prostu dawać możliwość odpoczynku wśród roślinności, niestety, wydeptany trawnik, brak ławek, bądź cienia nie sprzyja takim aktywnościom.
Kolejną kwestią są cenne z punktu widzenia bioróżnorodności enklawy zieleni, które można znaleźć zwłaszcza na osiedlach peryferyjnych. Warto je zachować, posprzątać i wyposażyć w infrastrukturę dla zwierząt, jak budki dla ptaków czy domki dla jeży.
Dlatego w ramach projektu Zieleń dla Wrocławia proponuję stworzenie parków kieszonkowych w różnych miejscach miasta, dodatkowe nasadzenia drzew oraz ochronę naturalnych enklaw zieleni.
Beneficjentami projektu będą wszyscy mieszkańcy miasta mieszkający lub pracujący/uczący się w pobliżu wybranych miejsc. Realizacja projektu wpłynie pozytywnie także na klimat lokalny i poprawę estetyki przestrzeni publicznej.";greenery/recreation;1000000;Karłowice-Różanka;5398
260;Budki dla kotów wolno żyjących;Uzasadnienie;other;70000;Karłowice-Różanka;4998
550;Pieszo z Brochowa - uzupełnienie brakującego chodnika na ul. I. Mościckiego, Gazowej i Karwińskiej (dotyczy przede wszystkim wiaduktu nad torami łączącymi te trzy ulice);"Uzasadnienie
Z Brochowa nie sposób wydostać się na piechotę nie idąc ulicami -  brak chodników. W prawdzie jakiś czas temu ulica I. Mościckiego została poszerzona o żwirowy pas, który zapewne miał zastąpić chodnik ale tylko do wiaduktu kolejowego przy ulicy Wiaduktowej.  Celem projektu jest wybudowanie bezpiecznych chodników dzięki którym mieszkańcy Brochowa będą mieli możliwość wydostać się z osiedla nie używając w tym celu komunikacji miejskiej czy samochodów. Bardzo często wiaduktem łączącym ulicę I. Mościckiego - Gazową - Karwińska wracają ze szkoły dzieci, jest to bardzo niebezpieczne bo ruch w tym miejscu jest naprawdę duży, a pobocze właściwie nie istnieje,  natomiast przejście z dzieckiem w wózku jest niemożliwe.  W ramach projektu zostanie również uzupełnione oświetlenie nad tymi ulicami, przede wszystkim nad przejściem dla pieszych na ul. I. Mościckiego przy przystankach autobusowych, przed wiaduktem kolejowym (od strony centrum).  Gdy jedzie się tam w nocy samochodem, zobaczenie kogokolwiek na tych pasach jest bardo utrudniona bo akurat tuż przed nimi znajduje się ostatnia latarnia i zanim wzrok kierowcy przyzwyczai się do ciemności jest już za pasami dla pieszych. O wypadek w tym miejscu nie trudno.";walking/cycling infrastructure;1000000;Borek,Stare Miasto;4468
12;Bulwar Fizyków - naukowy plac zabaw w przestrzeni miejskiej (ogólnomiejski);"Uzasadnienie
Proponujemy stworzenie instalację na początek kilku urządzeń edukacyjnych dla dzieci, młodzieży i dorosłych związanych z fizyką na bulwarze im. J. Zwierzyckiego przyległym do budynku Wydziału Fizyki i Astronomii UWr. Urządzenia w założeniu mają być unikalne, dlatego nie ma ich być dużo i mają być wykonane na zamówienie w projekcie lub zamówione w specjalistycznych firmach. W założeniu projekt ma zapoczątkować większą całość, którą realizować chcemy w przyszłości (park naukowy).
We Wrocławiu brakuje terenów rekreacyjnych z funkcją edukacyjną. Warszawa posiada swoje Centrum Kopernika, Wrocław ma Humanitarium - niewielkie i bardzo oddalone od centrum jedynie  z instalacją czasowych wystaw w budynku. W tym kontekście nasz projekt będzie unikalny we Wrocławiu i okolicach.
Dodatkowo projekt zakłada stworzenie projektu zarówno całej koncepcji jak i zieleni, który w sposób estetyczny i spójny z otoczeniem pozwoli na instalację tych urządzeń na (przepięknym) bulwarze.
Szczegóły urządzeń, ich forma i treść fizyczna zostaną ustalone z liderem projektu we współpracy z pracownikami naukowymi Wydziału Fizyki i Astronomii na etapie realizacji projektu.";redevelopment;1000000;Karłowice-Różanka;4149
159;Baza małych astronautów czyli kosmiczny plac zabaw w Mini Parku przy ul. F. Hynka.;"Uzasadnienie
W ramach Budżetu Obywatelskiego z 2015r. wskazana działka została uporządkowana i obecnie zachęca do zagospodarowania jej części dla najmłodszych mieszkańców Osiedla Kosmonautów.
Baza małych astronautów to nowoczesny kompleks zabawowy, który pozwoli spełnić dziecięce marzenia o byciu kosmonautą i podróżach do odległych planet i galaktyk. Baza z  założenia będzie przygotowywać małych astronautów do kosmicznych podróży, rozwijając przy okazji ich motorykę i wyobraźnię. W skład kompleksu wchodzi: Stacja kosmiczna duża, baza treningowa, zestaw sprawnościowy Merkury i Kosmiczny Surfer. Urządzenia te cechuje m. in. grupa linariów, ścianki wspinaczkowe, wieże o różnych wysokościach, tunele, zjeżdżalnie i drabinki oraz kosmiczny designer urządzeń. Urządzenia te zaliczane są do grupy urządzeń trudno dostępnych, przeznaczone są dla dzieci w wieku szkolnym.
Dla najmłodszych dzieci przewidziano mniejszy zestaw kosmiczny, huśtawki typu ważka, huśtawki wahadłowe oraz kiwaki. Nie zabraknie piaskownicy, ławek oraz tablic rysunkowych jako doskonałych elementów uzupełniających plac zabaw, dzięki którym dzieci będą mogły wykazać się swoimi talentami artystycznymi. Cały teren przeznaczony pod plac zabaw powinien być wygrodzony. 	Z uwagi na brak miejscowego planu zagospodarowania przestrzennego warto przeanalizować przekwalifikowanie powyższego terenu z działki budowlanej na działkę z przeznaczeniem pod zieleń parkową.";playgrounds;1000000;Tarnogaj;4098
656;Toalety miejskie w parkach na miarę Wrocławia.;"Uzasadnienie
Inicjatywa jest odpowiedzią na problem braku toalet publicznych w przestrzeniach rekreacyjnych miasta. Zakłada realizację 3 obiektów we wrocławskich parkach, które wciąż nie są wyposażone w tego typu obiekty (Park Zachodni, Park Grabiszyński oraz Park Wschodni). Projekt toalet został uhonorowany nagrodą Grand Prix w konkursie Łazienka KOŁO 2015.
Kompleksowy program obiektu przewiduje:
toalety: męskie, damskie i dla osób niepełnosprawnych
pokój dla matki z dzieckiem
zadaszone miejsce odpoczynku (ławka)
źródełko z wodą pitną i miejsce z wodą dla zwierząt
stojaki rowerowe
pomieszczenie techniczne
Koszt realizacji jednego obiektu wynosi około 330 000 zł - kwota 1 mln zł pozwoliłaby na wybudowanie 3 takich toalet.
Projekt wzbogaci parki o higieniczną i funkcjonalną przestrzeń, dając większą swobodę użytkownikom parku. Koncepcja jest uniwersalna i elastyczna, a jej zasięg można poszerzyć o kolejne parki.
Opinie pokonkursowe:
“Zwycięski projekt jest koncepcją wielofunkcyjną, naturalnie wkomponowaną w przestrzeń parkową. Centrum kompozycji stanowi drzewo będące przestrzennym i symbolicznym odnośnikiem projektu.“
“Zasada przyjęta dla zespołu toalet jest prosta i skromna, dostosowana do koniecznej intymności użytkowania przestrzeni przy zapewnieniu zadanej funkcji kulturalnej oraz efektownej i eleganckiej oprawy. Niedrogie i łatwe w utrzymaniu materiały wykończeniowe będą stanowić dobre tło dla efektownie zaproponowanego oświetlenia, które wieczorem i w nocy będzie wzbogacać przestrzeń ogrodu” – uzasadnia swój wybór jury konkursowe.”
(cytat ze strony: http://konkurskolo.pl/page,index,4,Historia-konkursu.html)";greenery/recreation;1000000;Ołbin;4008
499;"""Konikowo"" - Budowa autorskiego placu zabaw na Wrocławskim Torze Wyścigów Konnych - Partynice";"Uzasadnienie
Drodzy Wrocławianie, Drodzy Sąsiedzi,
reprezentuję nieformalną grupę „Mam z Ołtaszyna i okolic – RAZEM RAŹNIEJ” (ponad 2200 członkiń), które razem działają, pomagają sobie, rekomendują miejsca przyjazne dla rodzin z dziećmi. Bardzo ważnymi punktami na mapie Wrocławia są place zabaw i jak zauważamy jest ich w dalszym ciągu zdecydowanie za mało.
Dlatego zwracam się z prośbą o wsparcie naszego projektu placu zabaw na terenie Wrocławskiego Toru Wyścigów Konnych – Partynice.
Dlaczego na Partynicach?
- Jest to przestrzeń publiczna (teren zielony, cichy i bezpieczny).
- Można tu łatwo dojechać komunikacją miejską lub samochodem.
- Są tu konie uwielbiane przez dzieci.
- Jest tu odpowiednia infrastruktura, toalety, bar ze świetnym domowym jedzeniem.
- Organizowane tu imprezy plenerowe przyciągają tysiące wrocławian. Jak zapowiada Dyrekcja Toru, w trakcie wyścigów konnych dziećmi zajmować się będą profesjonalni animatorzy zapewniający zabawę i opiekę.
- Okoliczne place zabaw w większości położone są na zamkniętych, stale rozwijających się osiedlach lub są mało przyjazne (zanieczyszczone, trudno dostępne, bez cienia, w hałaśliwym miejscu, przy ulicy, itd.).
Proponowany projekt zapewniał będzie bezpieczeństwo i rozwój psychomotoryczny dzieci dzięki oryginalnemu i autorskiemu wyposażeniu nawiązującemu do koni i jeździectwa.
Rada osiedla Krzyki-Partynice przyjęła nasz pomysł z entuzjazmem.
Zarówno Dyrekcji Toru jak i mieszkańcom zależy na tym, aby nasza okolica była otwarta dla rodzin i umożliwiała spędzanie czasu na świeżym powietrzu w przyjaznym środowisku.
Zapraszamy do głosowania!!!
Zapraszamy na Partynice!!";playgrounds;1000000;Przedmieście Oławskie,Tarnogaj;3949
